high_thresh,low_thresh,accuracy,variant_recall,recall_at_3
0.7,0.57,0.7,0.55,0.55
0.7,0.58,0.7,0.55,0.55
0.7,0.59,0.7,0.55,0.55
0.7,0.6,0.7,0.55,0.55
0.7,0.61,0.7,0.55,0.55
0.71,0.57,0.7,0.55,0.55
0.71,0.58,0.7,0.55,0.55
0.71,0.59,0.7,0.55,0.55
0.71,0.6,0.7,0.55,0.55
0.71,0.61,0.7,0.55,0.55
0.71,0.62,0.7,0.55,0.55
0.72,0.57,0.7,0.55,0.55
0.72,0.58,0.7,0.55,0.55
0.72,0.59,0.7,0.55,0.55
0.72,0.6,0.7,0.55,0.55
0.72,0.61,0.7,0.55,0.55
0.72,0.62,0.7,0.55,0.55
0.72,0.63,0.7,0.55,0.55
0.73,0.57,0.7,0.55,0.55
0.73,0.58,0.7,0.55,0.55
0.73,0.59,0.7,0.55,0.55
0.73,0.6,0.7,0.55,0.55
0.73,0.61,0.7,0.55,0.55
0.73,0.62,0.7,0.55,0.55
0.73,0.63,0.7,0.55,0.55
0.73,0.64,0.7,0.55,0.55
0.7,0.55,0.6667,0.55,0.55
0.7,0.56,0.6667,0.55,0.55
0.71,0.55,0.6667,0.55,0.55
0.71,0.56,0.6667,0.55,0.55
0.72,0.55,0.6667,0.55,0.55
0.72,0.56,0.6667,0.55,0.55
0.73,0.55,0.6667,0.55,0.55
0.73,0.56,0.6667,0.55,0.55
0.74,0.57,0.6667,0.5,0.5
0.74,0.58,0.6667,0.5,0.5
0.74,0.59,0.6667,0.5,0.5
0.74,0.6,0.6667,0.5,0.5
0.74,0.61,0.6667,0.5,0.5
0.74,0.62,0.6667,0.5,0.5
0.74,0.63,0.6667,0.5,0.5
0.74,0.64,0.6667,0.5,0.5
0.74,0.65,0.6667,0.5,0.5
0.74,0.55,0.6333,0.5,0.5
0.74,0.56,0.6333,0.5,0.5
0.75,0.57,0.6333,0.45,0.45
0.75,0.58,0.6333,0.45,0.45
0.75,0.59,0.6333,0.45,0.45
0.75,0.6,0.6333,0.45,0.45
0.75,0.61,0.6333,0.45,0.45
0.75,0.62,0.6333,0.45,0.45
0.75,0.63,0.6333,0.45,0.45
0.75,0.64,0.6333,0.45,0.45
0.75,0.65,0.6333,0.45,0.45
0.75,0.66,0.6333,0.45,0.45
0.75,0.55,0.6,0.45,0.45
0.75,0.56,0.6,0.45,0.45
0.76,0.57,0.6,0.4,0.4
0.76,0.58,0.6,0.4,0.4
0.76,0.59,0.6,0.4,0.4
0.76,0.6,0.6,0.4,0.4
0.76,0.61,0.6,0.4,0.4
0.76,0.62,0.6,0.4,0.4
0.76,0.63,0.6,0.4,0.4
0.76,0.64,0.6,0.4,0.4
0.76,0.65,0.6,0.4,0.4
0.76,0.66,0.6,0.4,0.4
0.76,0.67,0.6,0.4,0.4
0.77,0.57,0.6,0.4,0.4
0.77,0.58,0.6,0.4,0.4
0.77,0.59,0.6,0.4,0.4
0.77,0.6,0.6,0.4,0.4
0.77,0.61,0.6,0.4,0.4
0.77,0.62,0.6,0.4,0.4
0.77,0.63,0.6,0.4,0.4
0.77,0.64,0.6,0.4,0.4
0.77,0.65,0.6,0.4,0.4
0.77,0.66,0.6,0.4,0.4
0.77,0.67,0.6,0.4,0.4
0.77,0.68,0.6,0.4,0.4
0.77,0.69,0.6,0.4,0.4
0.76,0.55,0.5667,0.4,0.4
0.76,0.56,0.5667,0.4,0.4
0.77,0.55,0.5667,0.4,0.4
0.77,0.56,0.5667,0.4,0.4
0.78,0.57,0.5667,0.35,0.35
0.78,0.58,0.5667,0.35,0.35
0.78,0.59,0.5667,0.35,0.35
0.78,0.6,0.5667,0.35,0.35
0.78,0.61,0.5667,0.35,0.35
0.78,0.62,0.5667,0.35,0.35
0.78,0.63,0.5667,0.35,0.35
0.78,0.64,0.5667,0.35,0.35
0.78,0.65,0.5667,0.35,0.35
0.78,0.66,0.5667,0.35,0.35
0.78,0.67,0.5667,0.35,0.35
0.78,0.68,0.5667,0.35,0.35
0.78,0.69,0.5667,0.35,0.35
0.78,0.7,0.5667,0.35,0.35
0.79,0.57,0.5667,0.35,0.35
0.79,0.58,0.5667,0.35,0.35
0.79,0.59,0.5667,0.35,0.35
0.79,0.6,0.5667,0.35,0.35
0.79,0.61,0.5667,0.35,0.35
0.79,0.62,0.5667,0.35,0.35
0.79,0.63,0.5667,0.35,0.35
0.79,0.64,0.5667,0.35,0.35
0.79,0.65,0.5667,0.35,0.35
0.79,0.66,0.5667,0.35,0.35
0.79,0.67,0.5667,0.35,0.35
0.79,0.68,0.5667,0.35,0.35
0.79,0.69,0.5667,0.35,0.35
0.79,0.7,0.5667,0.35,0.35
0.79,0.71,0.5667,0.35,0.35
0.78,0.55,0.5333,0.35,0.35
0.78,0.56,0.5333,0.35,0.35
0.79,0.55,0.5333,0.35,0.35
0.79,0.56,0.5333,0.35,0.35
0.8,0.57,0.5333,0.3,0.3
0.8,0.58,0.5333,0.3,0.3
0.8,0.59,0.5333,0.3,0.3
0.8,0.6,0.5333,0.3,0.3
0.8,0.61,0.5333,0.3,0.3
0.8,0.62,0.5333,0.3,0.3
0.8,0.63,0.5333,0.3,0.3
0.8,0.64,0.5333,0.3,0.3
0.8,0.65,0.5333,0.3,0.3
0.8,0.66,0.5333,0.3,0.3
0.8,0.67,0.5333,0.3,0.3
0.8,0.68,0.5333,0.3,0.3
0.8,0.69,0.5333,0.3,0.3
0.8,0.7,0.5333,0.3,0.3
0.8,0.71,0.5333,0.3,0.3
0.8,0.72,0.5333,0.3,0.3
0.8,0.55,0.5,0.3,0.3
0.8,0.56,0.5,0.3,0.3
0.81,0.57,0.4667,0.2,0.2
0.81,0.58,0.4667,0.2,0.2
0.81,0.59,0.4667,0.2,0.2
0.81,0.6,0.4667,0.2,0.2
0.81,0.61,0.4667,0.2,0.2
0.81,0.62,0.4667,0.2,0.2
0.81,0.63,0.4667,0.2,0.2
0.81,0.64,0.4667,0.2,0.2
0.81,0.65,0.4667,0.2,0.2
0.81,0.66,0.4667,0.2,0.2
0.81,0.67,0.4667,0.2,0.2
0.81,0.68,0.4667,0.2,0.2
0.81,0.69,0.4667,0.2,0.2
0.81,0.7,0.4667,0.2,0.2
0.81,0.71,0.4667,0.2,0.2
0.81,0.72,0.4667,0.2,0.2
0.81,0.55,0.4333,0.2,0.2
0.81,0.56,0.4333,0.2,0.2
0.82,0.57,0.4333,0.15,0.15
0.82,0.58,0.4333,0.15,0.15
0.82,0.59,0.4333,0.15,0.15
0.82,0.6,0.4333,0.15,0.15
0.82,0.61,0.4333,0.15,0.15
0.82,0.62,0.4333,0.15,0.15
0.82,0.63,0.4333,0.15,0.15
0.82,0.64,0.4333,0.15,0.15
0.82,0.65,0.4333,0.15,0.15
0.82,0.66,0.4333,0.15,0.15
0.82,0.67,0.4333,0.15,0.15
0.82,0.68,0.4333,0.15,0.15
0.82,0.69,0.4333,0.15,0.15
0.82,0.7,0.4333,0.15,0.15
0.82,0.71,0.4333,0.15,0.15
0.82,0.72,0.4333,0.15,0.15
0.82,0.55,0.4,0.15,0.15
0.82,0.56,0.4,0.15,0.15
0.83,0.57,0.4,0.1,0.1
0.83,0.58,0.4,0.1,0.1
0.83,0.59,0.4,0.1,0.1
0.83,0.6,0.4,0.1,0.1
0.83,0.61,0.4,0.1,0.1
0.83,0.62,0.4,0.1,0.1
0.83,0.63,0.4,0.1,0.1
0.83,0.64,0.4,0.1,0.1
0.83,0.65,0.4,0.1,0.1
0.83,0.66,0.4,0.1,0.1
0.83,0.67,0.4,0.1,0.1
0.83,0.68,0.4,0.1,0.1
0.83,0.69,0.4,0.1,0.1
0.83,0.7,0.4,0.1,0.1
0.83,0.71,0.4,0.1,0.1
0.83,0.72,0.4,0.1,0.1
0.84,0.57,0.4,0.1,0.1
0.84,0.58,0.4,0.1,0.1
0.84,0.59,0.4,0.1,0.1
0.84,0.6,0.4,0.1,0.1
0.84,0.61,0.4,0.1,0.1
0.84,0.62,0.4,0.1,0.1
0.84,0.63,0.4,0.1,0.1
0.84,0.64,0.4,0.1,0.1
0.84,0.65,0.4,0.1,0.1
0.84,0.66,0.4,0.1,0.1
0.84,0.67,0.4,0.1,0.1
0.84,0.68,0.4,0.1,0.1
0.84,0.69,0.4,0.1,0.1
0.84,0.7,0.4,0.1,0.1
0.84,0.71,0.4,0.1,0.1
0.84,0.72,0.4,0.1,0.1
0.83,0.55,0.3667,0.1,0.1
0.83,0.56,0.3667,0.1,0.1
0.84,0.55,0.3667,0.1,0.1
0.84,0.56,0.3667,0.1,0.1
0.85,0.57,0.3667,0.05,0.05
0.85,0.58,0.3667,0.05,0.05
0.85,0.59,0.3667,0.05,0.05
0.85,0.6,0.3667,0.05,0.05
0.85,0.61,0.3667,0.05,0.05
0.85,0.62,0.3667,0.05,0.05
0.85,0.63,0.3667,0.05,0.05
0.85,0.64,0.3667,0.05,0.05
0.85,0.65,0.3667,0.05,0.05
0.85,0.66,0.3667,0.05,0.05
0.85,0.67,0.3667,0.05,0.05
0.85,0.68,0.3667,0.05,0.05
0.85,0.69,0.3667,0.05,0.05
0.85,0.7,0.3667,0.05,0.05
0.85,0.71,0.3667,0.05,0.05
0.85,0.72,0.3667,0.05,0.05
0.85,0.55,0.3333,0.05,0.05
0.85,0.56,0.3333,0.05,0.05
